Penguin ID,Title,Authors,URL,ISBN,Image
34067,Barchester Towers,Anthony Trollope,https://www.penguin.co.uk/books/34067/barchester-towers-by-anthony-trollope-ed-and-intro-robin-gilmour-preface-by-john-kenneth-galbraith/9780140432039,9780140432039,https://cdn.penguin.co.uk/dam-assets/books/9780140432039/9780140432039-jacket-large.jpg
34068,Reflections on the Revolution in France,Edmund Burke,https://www.penguin.co.uk/books/34068/reflections-on-the-revolution-in-france-by-edmund-burke-ed-conor-cruise-obrien/9780140432046,9780140432046,https://cdn.penguin.co.uk/dam-assets/books/9780140432046/9780140432046-jacket-large.jpg
35361,Ta Hsüeh and Chung Yung,,https://www.penguin.co.uk/books/35361/ta-hsueh-and-chung-yung-by-ed--andrew-plaks/9780140447842,9780140447842,https://cdn.penguin.co.uk/dam-assets/books/9780140447842/9780140447842-jacket-large.jpg
34493,The Bostonians,Henry James,https://www.penguin.co.uk/books/34493/the-bostonians-by-henry-james-edited-with-an-introduction-and-notes-by-richard-lansdown/9780140437669,9780140437669,https://cdn.penguin.co.uk/dam-assets/books/9780140437669/9780140437669-jacket-large.jpg
35337,The Lais of Marie De France,Marie France,https://www.penguin.co.uk/books/35337/the-lais-of-marie-de-france-by-marie-de-france-trans-with-an-intro-by-glyn-sburgess-and-keith-busby/9780140447590,9780140447590,https://cdn.penguin.co.uk/dam-assets/books/9780140447590/9780140447590-jacket-large.jpg
34784,The Letters of the Younger Pliny,The Younger Pliny,https://www.penguin.co.uk/books/34784/the-letters-of-the-younger-pliny-by-trans-and-intro-betty-radice/9780140441277,9780140441277,https://cdn.penguin.co.uk/dam-assets/books/9780140441277/9780140441277-jacket-large.jpg
34977,The Mabinogion,,https://www.penguin.co.uk/books/34977/the-mabinogion-by-translated-with-an-introduction-by-jeffrey-gantz/9780140443226,9780140443226,https://cdn.penguin.co.uk/dam-assets/books/9780140443226/9780140443226-jacket-large.jpg
34724,The Oresteian Trilogy,Aeschylus,https://www.penguin.co.uk/books/34724/the-oresteian-trilogy-by-aeschylustrans-philip-vellacott/9780140440676,9780140440676,https://cdn.penguin.co.uk/dam-assets/books/9780140440676/9780140440676-jacket-large.jpg
34984,A Nietzsche Reader,Friedrich Nietzsche,https://www.penguin.co.uk/books/34984/a-nietzsche-reader-by-nietzsche-trans-rj-hollingdale/9780140443295,9780140443295,https://cdn.penguin.co.uk/dam-assets/books/9780140443295/9780140443295-jacket-large.jpg
1139,City of God,Saint Augustine,https://www.penguin.co.uk/books/1139/city-of-god-by-augustine-saint/9780140448948,9780140448948,https://cdn.penguin.co.uk/dam-assets/books/9780140448948/9780140448948-jacket-large.jpg
35095,On Love and Barley,Matsuo Basho,https://www.penguin.co.uk/books/35095/on-love-and-barley-by-basho-trans-lucien-stryk-illus-taiga/9780140444599,9780140444599,https://cdn.penguin.co.uk/dam-assets/books/9780140444599/9780140444599-jacket-large.jpg
34388,Selected Writings,Thomas Aquinas,https://www.penguin.co.uk/books/34388/selected-writings-by-thomas-aquinas-edited-and-translated-with-an-introduction-and-notes-by-ralph-mcinerny/9780140436327,9780140436327,https://cdn.penguin.co.uk/dam-assets/books/9780140436327/9780140436327-jacket-large.jpg
